Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Participation,Internet_Access_Yes,Extracurricular_Yes
0.5263157894736843,0.7996323529411763,0.8428571428571427,0.857142857142857,0.5333333333333333,0.7777777777777777,1.0,1.0
0.3894736842105263,1.0,0.7414285714285715,0.42857142857142855,0.5666666666666668,0.3333333333333333,1.0,0.0
0.5578947368421052,0.2867647058823529,0.5557142857142858,0.42857142857142855,0.6,0.0,0.0,0.0
0.736842105263158,0.7205882352941176,0.4042857142857142,0.28571428571428564,0.6833333333333332,0.6666666666666665,0.0,0.0
0.3684210526315789,0.45220588235294124,0.6928571428571428,0.0,0.5499999999999999,0.0,1.0,1.0
0.3684210526315789,0.48897058823529427,0.6271428571428572,0.857142857142857,0.41666666666666663,0.3333333333333333,1.0,1.0
0.7578947368421052,0.46507352941176483,0.7342857142857142,0.7142857142857142,0.6,0.7777777777777777,1.0,1.0
0.5789473684210527,0.40441176470588236,0.6785714285714286,0.28571428571428564,0.85,0.1111111111111111,0.0,0.0
0.3263157894736842,0.6066176470588235,0.7671428571428571,0.7142857142857142,0.43333333333333324,0.5555555555555556,1.0,0.0
0.5368421052631578,0.4117647058823529,0.42857142857142855,0.9999999999999998,0.2666666666666666,0.5555555555555556,1.0,0.0
0.3263157894736842,0.6544117647058824,0.8257142857142856,0.5714285714285714,0.6833333333333332,0.8888888888888888,1.0,1.0
0.3263157894736842,0.5845588235294118,0.5857142857142856,0.42857142857142855,0.45000000000000007,0.4444444444444445,1.0,0.0
0.47368421052631576,0.5422794117647057,0.9871428571428569,0.7142857142857142,0.033333333333333326,1.0,1.0,0.0
0.021052631578947364,0.39522058823529405,0.39571428571428574,0.14285714285714285,0.6333333333333332,0.3333333333333333,1.0,1.0
0.06315789473684211,0.4687499999999999,0.9142857142857141,0.7142857142857142,0.3666666666666666,0.4444444444444445,1.0,0.0
0.3052631578947368,0.7628676470588235,0.5857142857142856,0.5714285714285714,0.45000000000000007,1.0,1.0,0.0
0.21052631578947367,0.7058823529411765,0.40285714285714286,0.857142857142857,0.5333333333333333,0.4444444444444445,1.0,0.0
0.48421052631578937,0.3805147058823529,0.43857142857142856,0.42857142857142855,0.4999999999999999,0.7777777777777777,1.0,0.0
0.23157894736842105,0.6176470588235295,0.47428571428571437,0.9999999999999998,0.6166666666666666,1.0,1.0,1.0
0.1263157894736842,0.761029411764706,0.6342857142857143,0.28571428571428564,0.3833333333333332,0.7777777777777777,1.0,1.0
0.7263157894736842,0.2279411764705882,0.6542857142857141,0.9999999999999998,0.5666666666666668,0.1111111111111111,1.0,0.0
0.3684210526315789,0.7150735294117648,0.42,0.5714285714285714,0.41666666666666663,0.6666666666666665,1.0,1.0
0.431578947368421,0.44852941176470595,0.5371428571428571,0.42857142857142855,0.6166666666666666,0.7777777777777777,1.0,0.0
0.1263157894736842,0.7205882352941176,1.0,0.7142857142857142,0.5833333333333334,0.5555555555555556,1.0,0.0
0.3052631578947368,0.42647058823529405,0.9128571428571428,0.857142857142857,0.2833333333333333,0.4444444444444445,1.0,0.0
0.4421052631578947,0.1966911764705882,0.6357142857142857,0.0,0.6833333333333332,0.8888888888888888,1.0,0.0
0.17894736842105263,0.23713235294117652,0.5514285714285714,0.857142857142857,0.3666666666666666,0.2222222222222222,1.0,1.0
0.5052631578947369,0.6066176470588235,0.5685714285714285,0.0,0.6333333333333332,1.0,1.0,1.0
0.29473684210526313,0.6525735294117646,0.6742857142857142,0.14285714285714285,0.5333333333333333,0.3333333333333333,1.0,1.0
0.3578947368421052,0.39522058823529405,0.32428571428571434,0.857142857142857,0.8333333333333334,0.8888888888888888,1.0,1.0
0.29473684210526313,0.7371323529411765,0.48714285714285704,0.42857142857142855,0.41666666666666663,0.5555555555555556,1.0,1.0
0.8105263157894735,0.22977941176470595,0.18571428571428567,0.0,0.4,0.7777777777777777,1.0,1.0
